Model,MSO44B
Channel,CH1,,Channel,CH3,,Channel,MATH1
Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Digital Type,None,,Digital Type,None,,Digital Type,None
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10
Record Length,125000,,Record Length,125000,,Record Length,125000
Zero Index,28749.50000000,,Zero Index,28749.50000000,,Zero Index,28749.50000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,,
yOffset,0.000000,,yOffset,0.000000,,,
yPosition,-2.460000,,yPosition,-2.680000,,,

Labels,,,,Labels,
TIME,CH1,CH3,,TIME,MATH1
-9.16528000e-06,-4.21875000e-03,-3.90625000e-02,,-9.16528000e-06,1.64062493e-02
-9.16496000e-06,-5.15625000e-03,-4.84375000e-02,,-9.16496000e-06,-2.10937504e-02
-9.16464000e-06,-6.40625000e-03,-1.00781250e-01,,-9.16464000e-06,-2.65625007e-02
-9.16432000e-06,-8.98437500e-03,-1.49218750e-01,,-9.16432000e-06,-1.17187500e-02
-9.16400000e-06,-1.01562500e-02,-1.55468750e-01,,-9.16400000e-06,-1.32812504e-02
-9.16368000e-06,-8.59375000e-03,-1.25000000e-01,,-9.16368000e-06,-3.04687507e-02
-9.16336000e-06,-6.71875000e-03,-8.43750000e-02,,-9.16336000e-06,-3.59374993e-02
-9.16304000e-06,-5.78125000e-03,-4.68750000e-02,,-9.16304000e-06,-2.96874996e-02
-9.16272000e-06,-5.78125000e-03,-2.57812500e-02,,-9.16272000e-06,-2.81249993e-02
-9.16240000e-06,-6.17187500e-03,-2.81250000e-02,,-9.16240000e-06,-1.95312500e-02
-9.16208000e-06,-5.93750000e-03,-4.60937500e-02,,-9.16208000e-06,-3.90625000e-03
-9.16176000e-06,-5.39062500e-03,-8.04687500e-02,,-9.16176000e-06,-7.81250000e-03
-9.16144000e-06,-3.98437500e-03,-1.17968750e-01,,-9.16144000e-06,-2.81249993e-02
-9.16112000e-06,-2.50000000e-03,-1.30468750e-01,,-9.16112000e-06,-3.51562500e-02
-9.16080000e-06,-3.43750000e-03,-1.22656250e-01,,-9.16080000e-06,-2.81249993e-02
-9.16048000e-06,-5.93750000e-03,-1.10156250e-01,,-9.16048000e-06,-2.89062504e-02
-9.16016000e-06,-7.03125000e-03,-9.45312500e-02,,-9.16016000e-06,-2.42187493e-02
-9.15984000e-06,-6.64062500e-03,-8.35937500e-02,,-9.15984000e-06,1.17187500e-02
-9.15952000e-06,-7.18750000e-03,-8.75000000e-02,,-9.15952000e-06,6.01562485e-02
-9.15920000e-06,-8.35937500e-03,-1.04687500e-01,,-9.15920000e-06,6.40624985e-02
-9.15888000e-06,-7.81250000e-03,-1.21093750e-01,,-9.15888000e-06,1.64062493e-02
-9.15856000e-06,-6.79687500e-03,-1.30468750e-01,,-9.15856000e-06,-1.71875004e-02
-9.15824000e-06,-7.34375000e-03,-1.28906250e-01,,-9.15824000e-06,8.59375019e-03
-9.15792000e-06,-8.20312500e-03,-1.02343750e-01,,-9.15792000e-06,4.37499993e-02
-9.15760000e-06,-6.87500000e-03,-6.32812500e-02,,-9.15760000e-06,3.12500000e-02
-9.15728000e-06,-2.89062500e-03,-3.51562500e-02,,-9.15728000e-06,-7.81250012e-04
-9.15696000e-06,7.81250000e-05,-3.35937500e-02,,-9.15696000e-06,6.25000009e-03
-9.15664000e-06,-3.90625000e-04,-5.54687500e-02,,-9.15664000e-06,5.54687493e-02
-9.15632000e-06,-1.32812500e-03,-6.64062500e-02,,-9.15632000e-06,9.45312530e-02
-9.15600000e-06,-9.37500000e-04,-4.92187500e-02,,-9.15600000e-06,7.57812485e-02
-9.15568000e-06,-1.40625000e-03,-2.81250000e-02,,-9.15568000e-06,4.68750000e-02
-9.15536000e-06,-3.20312500e-03,-1.17187500e-02,,-9.15536000e-06,6.48437515e-02
-9.15504000e-06,-3.43750000e-03,-1.01562500e-02,,-9.15504000e-06,7.89062530e-02
-9.15472000e-06,-1.56250000e-03,-4.14062500e-02,,-9.15472000e-06,5.00000007e-02
-9.15440000e-06,6.25000000e-04,-8.82812500e-02,,-9.15440000e-06,4.37499993e-02
-9.15408000e-06,1.71875000e-03,-1.03125000e-01,,-9.15408000e-06,7.50000030e-02
-9.15376000e-06,1.48437500e-03,-8.20312500e-02,,-9.15376000e-06,6.79687485e-02
-9.15344000e-06,1.01562500e-03,-5.15625000e-02,,-9.15344000e-06,8.59375019e-03
-9.15312000e-06,6.25000000e-04,-1.71875000e-02,,-9.15312000e-06,-1.71875004e-02
-9.15280000e-06,-1.48437500e-03,7.03125000e-03,,-9.15280000e-06,3.59374993e-02
-9.15248000e-06,-5.54687500e-03,-7.03125000e-03,,-9.15248000e-06,8.59375000e-02
-9.15216000e-06,-7.89062500e-03,-6.09375000e-02,,-9.15216000e-06,6.17187507e-02
-9.15184000e-06,-7.03125000e-03,-1.25781250e-01,,-9.15184000e-06,2.81249993e-02
-9.15152000e-06,-6.48437500e-03,-1.64062500e-01,,-9.15152000e-06,6.64062500e-02
-9.15120000e-06,-7.57812500e-03,-1.52343750e-01,,-9.15120000e-06,1.20312497e-01
